epoch,train_loss,test_acc@1
1,6.903177601774943,32.31
2,7.181734350538745,33.339999999999996
3,7.2035837959997435,34.92
4,7.021249648221989,36.89
5,6.8165065824371025,38.93
6,6.6624834316292985,39.44
7,6.528764007017784,41.23
8,6.345861906857834,43.57
9,6.171317680594847,47.24
10,5.946513775697689,48.52
11,5.735441915767709,50.019999999999996
12,5.528843422525937,52.15
13,5.3156284794365005,53.16
14,5.180379125260815,54.59
15,5.006534802544977,56.00000000000001
16,4.854237428645498,57.099999999999994
17,4.720246742681129,58.17
18,4.604551064599421,59.440000000000005
19,4.476093154592612,60.12
20,4.349759598368222,61.3
21,4.253707698940002,62.4
22,4.162969348356896,63.839999999999996
23,4.0848732510792845,64.03999999999999
24,4.014528294199521,65.44
25,3.939892744280628,65.49000000000001
26,3.8803998539128255,65.95
27,3.8575552247234226,67.52
28,3.822309417822926,67.58
29,3.772163137947161,67.92
30,3.7206490949257134,68.28
31,3.6785383789809707,69.52000000000001
32,3.639786270475879,69.0
33,3.611634768161577,69.73
34,3.555596594957961,69.53
35,3.5357128000750984,70.3
36,3.509702483403314,70.76
37,3.4785727422261976,70.39999999999999
38,3.4448429604166564,70.54
39,3.433617611521298,71.02000000000001
40,3.395035982131958,71.21
41,3.3784260454866075,70.95
42,3.352367069303375,70.78999999999999
43,3.331802613956412,71.97
44,3.325110759931741,72.05
45,3.3152831461011747,72.8
46,3.2946226744307685,72.42
47,3.271726731172542,72.22
48,3.258522146755887,72.48
49,3.2270181006991985,73.17
50,3.222489155444902,73.37
51,3.2027044640373936,72.69
52,3.1868760512047207,73.68
53,3.165056390860646,73.52
54,3.166775619860777,73.17
55,3.1384016508908616,73.07000000000001
56,3.137412926585404,73.72
57,3.110347511842079,74.44
58,3.088555975058644,74.57000000000001
59,3.078392363086189,74.5
60,3.0819195693301173,74.48
61,3.064013036255984,75.1
62,3.0486465532755114,75.16000000000001
63,3.0403003790943894,74.98
64,3.014611512115321,75.22
65,3.023736331880707,75.33
66,3.0022485551145888,75.82
67,2.992163795785806,75.36
68,2.9874685597173944,75.9
69,2.9571492819441962,75.36
70,2.9471142439498115,76.28
71,2.959077817877543,76.03
72,2.936875085240787,76.16000000000001
73,2.9276429869464993,75.78
74,2.913756812970663,76.95
75,2.9045737404184244,75.62
76,2.8969236378817214,75.81
77,2.874628782272339,77.06
78,2.894124478408971,76.92999999999999
79,2.85694624959808,77.09
80,2.880169337557763,77.10000000000001
81,2.8515567976174894,76.69
82,2.859978506245564,77.23
83,2.838351407001928,77.32
84,2.827703419419908,77.32
85,2.837607700800158,77.10000000000001
86,2.8289489868989923,77.79
87,2.8087301967070273,77.39
88,2.806684516139866,77.36
89,2.790080886526206,77.96
90,2.7793885629201673,77.23
91,2.7874807721560764,77.91
92,2.7709144661107015,78.19
93,2.764013838522213,78.13
94,2.751797024736699,77.66999999999999
95,2.749121348882459,78.28
96,2.7340550004821464,78.09
97,2.7358846049947836,78.59
98,2.7411149457557915,78.7
99,2.726059390097549,78.16
100,2.7135174766029277,78.85
101,2.7091386170731377,77.83
102,2.6952198436579753,78.8
103,2.7020758845142483,78.89
104,2.6816000422251594,78.06
105,2.673658636427417,78.55
106,2.670061371990086,79.34
107,2.669260683747911,79.21000000000001
108,2.6494054622256877,79.17
109,2.658234053051349,79.05
110,2.65917036459618,79.23
111,2.6387440347179925,78.41
112,2.635847578343657,79.12
113,2.628479173502971,79.17
114,2.621613109234682,79.47
115,2.615219182574872,79.42
116,2.604795632903109,79.62
117,2.598563850540476,79.66
118,2.6017185904316067,79.21000000000001
119,2.5808602288826226,79.72
120,2.591887842748583,79.54
121,2.5878102533596077,79.89
122,2.5572385075166055,79.93
123,2.569175012332877,80.12
124,2.567233073342707,79.9
125,2.5533613642466437,79.61
126,2.550163603320564,80.12
127,2.5435383074062385,80.11
128,2.5301070876957215,79.91
129,2.529325767890694,79.59
130,2.521985874962561,80.0
131,2.5345331491883267,80.15
132,2.501770847851468,80.47999999999999
133,2.5143412781744887,80.07
134,2.5195635249934245,80.72
135,2.4947426319122314,81.0
136,2.4960827630819735,80.25999999999999
137,2.4734931287077284,80.43
138,2.4834576759141744,80.93
139,2.472004103906376,80.63
140,2.4717022315743042,80.69
141,2.4631432085922085,80.80000000000001
142,2.4624149061969876,81.03
143,2.462994860619614,80.4
144,2.439983055763638,80.71000000000001
145,2.443918707444496,80.97
146,2.43636659248588,80.74
147,2.417168646743617,81.28999999999999
148,2.4175972127422845,81.3
149,2.42422638971781,81.37
150,2.422796989224621,81.26
151,2.420665652481551,81.26
152,2.412538990532,81.10000000000001
153,2.395035655228133,81.53
154,2.3995461439348986,81.08999999999999
155,2.37830894755334,81.69
156,2.382200700720561,81.55
157,2.371722132889266,81.86
158,2.37299526106451,81.58
159,2.3731196147879374,82.12
160,2.350851965933731,81.84
161,2.3574401373715745,81.87
162,2.3594303622688213,82.12
163,2.35528816881868,82.08
164,2.358373705873784,81.85
165,2.3449148640190205,81.66
166,2.35416977184335,81.8
167,2.340360140063099,81.47999999999999
168,2.3292425244124892,81.94
169,2.3138484463249287,82.04
170,2.3090661874751457,81.96
171,2.3074931926334026,81.95
172,2.326353989925581,82.27
173,2.3078274603971503,82.12
174,2.3070678366828212,81.82000000000001
175,2.3013815216182434,81.97
176,2.3104577531519626,82.24000000000001
177,2.3006876719366645,82.16
178,2.2964848021871034,82.07
179,2.2848821202504266,82.28
180,2.28716547464587,82.36
181,2.2773597461661113,82.26
182,2.2854395060195136,82.25
183,2.280970032682124,82.33
184,2.271918955537462,82.33
185,2.2677388904020956,82.46
186,2.271813847355007,82.28999999999999
187,2.273630297061094,82.36
188,2.288520296824347,82.39999999999999
189,2.2571300624572124,82.36
190,2.2526813413678983,82.24000000000001
191,2.26722925225484,82.41000000000001
192,2.260413017469583,82.43
193,2.271085476137928,82.32000000000001
194,2.2662337072116814,82.36
195,2.2664038471339905,82.38
196,2.259934253299359,82.35
197,2.2564119751920404,82.34
198,2.2717646028577665,82.39
199,2.256938265770981,82.35
200,2.2562942922729805,82.42
